"TeamNumber","Count","TeamScore","Females","TeamScoreBest6","TeamScoreBest6With3Women","TeamScoreBest6With2Women"
"1","13","167.6","5","100","96.5","100"
"2","13","171.1","5","99.5","95.9","99.5"
"3","13","167.6","5","96.5","93.6","96.5"
"4","13","166.6","6","96.6","93.9","96.6"
"5","13","172","5","94.6","93.1","94.6"
"6","13","167.7","5","95.8","93.1","95.8"
"7","13","172","5","95.1","94.1","95.1"
"8","13","169.7","5","95.3","93.1","95.3"
"9","13","170.1","5","95.1","93.9","95.1"
"10","13","169.6","5","94.6","93.6","94.6"
